a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,,"Last revision:  Sunday, 10 May 2020 06:03:31 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d,,,,,,,,Non-,United,,,,"1. Litchfield",,,,,,,"2. Hartford",,,,,,,"3. New Haven",,,,,,,"4. Fairfield",,,,,,,"5. Middlesex",,,,,,,"6. Tolland",,,,,,,"7. Windham",,,,,,,"8. New London",,,,,,,"9. Pending address",,,,,,,"0. State of CT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e,,New,,,,15x,Calculated,Calculated,States,"Connecticut,",,,,,in,,,,,,,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,,Growth:,Multiplier:,,,measured:,"New Total:",Data:,Total:,Total:,,,Total:,,hosp:,,Dead:,,,Total:,,hosp:,,Dead:,,,Total:,,hosp:,,Dead:,,,Total:,,hosp:,,Dead:,,,Total:,,hosp:,,Dead:,,,Total:,,hosp:,,Dead:,,,Total:,,hosp:,,Dead:,,,Total:,,hosp:,,Dead:,,,Total:,,hosp:,,Dead:,,,Total:,,hosp:,,Dead:,,,Hosp:,,No.,Town,Date,Conf,Rate,Dead,,,No.,Town,Date,Conf,,Rate,Dead,,,,,,,,,,,"Signal A","Signal B","Signal C","Signal D","Signal E",,,Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h,,1,0,Sun,2020/03/08,15,1,1,,1,,,0,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,0,,,,,1,Andover,2020/03/24,0,,0,-5,,x,Barkhamsted,2020/05/04,18,0.016901408450704224,497,0,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,,1,1,Mon,2020/03/09,30,2,2,583,2,1,,1,1,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,,0,,,"march 9th",,1,Andover,2020/03/25,0,,0,-4,,,Bethlehem,2020/05/04,10,0.009389671361502348,292,1,,,,,,,,,,,25,10,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,Tue,2020/03/10,30,2,2,959,2,0,,1,0,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,0,,,,,1,Andover,2020/03/26,0,,0,-3,,,Bridgewater,2020/05/04,4,0.003755868544600939,244,0,,,,,,,,,,,50,50,190,,,,2020/01/22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,0.5,Wed,2020/03/11,45,3,3,1281,3,0.5,,1,0,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,,0,,,,,1,Andover,2020/03/27,0,,0,-2,,,Canaan,2020/05/04,0,0,0,0,,,,,,,,,,,100,100,90,,,,2020/01/23,1,0,,1132539,1158040,1180375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1,Thu,2020/03/12,90,6,6,1663,6,1,,1,0,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0,,0,,,,,1,Andover,2020/03/28,0,,0,-1,,,Colebrook,2020/05/04,2,0.0018779342723004694,142,0,,,,,,,,,,,100,100,290,,,,2020/01/24,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4.999999999998,0.833333333333,Fri,2020/03/13,164.99999999997,10.999999999998,11,2179,11,0.8333333333333333,,3,2,,,,,,,,,,,,,,,,,,,,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,0,,0,,,,,1,Andover,2020/03/29,0,,0,0,,,Cornwall,2020/05/04,3,0.0028169014084507044,219,0,,,,,,,,,,,100,100,90,,,,2020/01/25,2,0,,1132539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9.000000000000362,0.818181818182,Sat,2020/03/14,299.99999999997544,19.999999999998362,20,2727,20,0.8181818181818181,,3,0,,,,,,1,1,,,,,,1,1,,,,,,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,9,0,,0,,,,,1,Andover,2020/03/30,0,,0,1,,,Goshen,2020/05/04,8,0.007511737089201878,278,0,,,,,,,,,,,100,100,390,,,,2020/01/26,5,1.5,,1158040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5.999999999999509,0.3,Sun,2020/03/15,389.99999999996805,25.999999999997872,26,3499,26,0.30000000000000004,,4,1,,,,,,3,2,,,,,,3,2,,,,,,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,6,0,,0,,,,,1,Andover,2020/03/31,0,,0,2,,,Harwinton,2020/05/04,26,0.024413145539906103,479,2,,,,,,,,,,,25,25,90,,,,2020/01/27,5,0,,1180375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14.999999999996774,0.576923076923,Mon,2020/03/16,614.9999999999196,40.99999999999464,41,4632,41,0.5769230769230769,,4,0,,,,,,4,1,,,,,,4,1,,,,,,29,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,15,0,,0,,,,,1,Andover,2020/04/01,0,,0,3,,,Kent,2020/05/04,7,0.006572769953051643,251,0,,,,,,,,,,,100,100,490,,,,2020/01/28,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
